SampleID,Sex,Genotype,Age,Strain,Strain.short,Geno_Age,Geno_Age_Sex,Ymaze.SponAlt,CFC.PS4,CFC.AcqSlope,CFC.CFM,ELISA
A1,0,5,14,BXD44,44,5_14,5_14_0,57.15384615,33.51846154,1.401615385,25.16846154,689.0666667
A10,1,5,14,C57BL.6J,B6,5_14,5_14_1,51.58823529,36.59222222,1.553037038,49.32148148,562.1872396
A11,0,5,6,DBA.2J,D2,5_6,5_6_0,61.46666667,34.786875,6.9145,41.28625,44.0421875
A12,0,0,6,DBA.2J,D2,0_6,0_6_0,61.23076923,45.03090909,13.67618182,23.36454545,
A13,0,0,14,DBA.2J,D2,0_14,0_14_0,48.21428571,49.6475,14.38191667,24.71083333,
A14,0,5,14,DBA.2J,D2,5_14,5_14_0,50.83333333,12.74058824,-0.329058823,8.109411765,702.4478423
A15,1,0,6,DBA.2J,D2,0_6,0_6_1,62,36.61875,10.7545,33.9225,
A16,1,5,6,DBA.2J,D2,5_6,5_6_1,64.15384615,42.07769231,6.614384617,40.37769231,4.796875
A17,1,0,14,DBA.2J,D2,0_14,0_14_1,62,42.7825,10.2775,26.18,
A18,1,5,14,DBA.2J,D2,5_14,5_14_1,68.28571429,35.26,-5.198125,11.07625,430.113125
A19,0,0,6,BXD68,68,0_6,0_6_0,60.68421053,54.78888889,14.79777778,46.11777778,
A2,0,0,6,BXD60,60,0_6,0_6_0,59.5,36.015,12.138,23.975,
A20,0,0,6,BXD2,2,0_6,0_6_0,63.42857143,34.994,11.5046,52.568,
A21,0,5,6,BXD2,2,5_6,5_6_0,64.5,34.875,6.81225,51.0225,
A22,0,0,6,BXD14,14,0_6,0_6_0,56.25,73.665,19.863,46.105,
A23,0,5,6,BXD14,14,5_6,5_6_0,57,28.408,4.046,49.948,72.8796875
A24,0,5,6,BXD16,16,5_6,5_6_0,54.375,18.6675,4.5175,46.2975,81.140625
A25,0,5,14,BXD16,16,5_14,5_14_0,57,30.5,3.61075,46.315,440.5625
A26,0,0,6,BXD34,34,0_6,0_6_0,54.9,55.87545455,12.21272728,64.08636364,
A27,0,5,6,BXD34,34,5_6,5_6_0,57.22222222,41.94444444,7.970111108,60.01,
A28,0,0,6,BXD42,42,0_6,0_6_0,58.4,16.0675,2.65075,38.76,
A29,0,5,6,BXD42,42,5_6,5_6_0,52.77777778,21.385,6.104666667,55.28333333,
A3,1,5,6,BXD66,66,5_6,5_6_1,39.33333333,57.1675,8.27675,42.565,87.95833333
A30,1,5,14,BXD44,44,5_14,5_14_1,61.375,29.25,1.57425,27.01,238.421875
A31,0,0,14,BXD51,51,0_14,0_14_0,52.75,38.7825,12.38525,49.2475,
A32,0,5,6,BXD51,51,5_6,5_6_0,61.33333333,44.29666667,1.810333334,42.53666667,75.35625
A33,0,5,14,BXD51,51,5_14,5_14_0,44.16666667,45.57333333,0.456666667,32.62,627.6125
A34,0,0,6,BXD55,55,0_6,0_6_0,60.33333333,31.3325,8.95425,18.795,
A35,0,0,14,BXD55,55,0_14,0_14_0,45,9.045,2.7475,16.09,
A36,0,5,14,BXD55,55,5_14,5_14_0,50.25,0.3325,0.09975,14.1575,621.1875
A37,0,5,14,BXD60,60,5_14,5_14_0,53,29.8675,6.407,17.92,282.4375
A38,1,5,14,BXD60,60,5_14,5_14_1,42,34.264,6.208,23.844,453.09375
A39,0,0,14,BXD61,61,0_14,0_14_0,59.4,56.8,10.6964,40.98,
A4,1,5,6,BXD100,100,5_6,5_6_1,66.875,17.335,6.0005,31.775,45.7234375
A40,1,0,14,BXD61,61,0_14,0_14_1,49.8,45.92166667,10.37433333,40.19333333,
A41,0,5,14,BXD61,61,5_14,5_14_0,61.5,37.77,5.013714286,17.38285714,175.0625
A42,1,5,14,BXD61,61,5_14,5_14_1,60.33333333,63.11,8.768666666,31.59333333,344.5994792
A43,1,0,6,BXD65,65,0_6,0_6_1,53.5,45.9275,15.57325,39.37,
A44,0,0,14,BXD65,65,0_14,0_14_0,51.375,51.155,15.540125,57.54875,
A45,0,5,14,BXD65,65,5_14,5_14_0,51.14285714,41.24333333,11.75083333,38.01833333,183
A46,1,5,14,BXD66,66,5_14,5_14_1,63.75,40.836,6.1022,24.654,393.875
A47,0,0,14,BXD68,68,0_14,0_14_0,52.6,50.466,10.4539,53.948,
A48,0,5,6,BXD68,68,5_6,5_6_0,61.55555556,34.66833333,2.734999998,66.42833333,63.12291667
A49,0,5,14,BXD68,68,5_14,5_14_0,65,31.43333333,7.100333332,33.27333333,118
A5,0,5,6,C57BL.6J,B6,5_6,5_6_0,56.83333333,46.875,3.1575,54.83,41.43828125
A50,1,5,14,BXD68,68,5_14,5_14_1,59.14285714,29.68142857,3.939714286,43.59428571,472.25
A51,0,0,14,BXD69,69,0_14,0_14_0,59.4,26.335,6.0335,31.6875,
A52,1,0,14,BXD69,69,0_14,0_14_1,53.5,34.925,9.653166666,33.78833333,
A53,0,5,14,BXD69,69,5_14,5_14_0,51.33333333,18.88833333,4.286333332,21.84666667,364.4201389
A54,1,5,14,BXD69,69,5_14,5_14_1,48.6,25.734,1.3506,32.988,432.5625
A55,1,5,14,BXD70,70,5_14,5_14_1,56,38.88666667,-0.612999998,30.15666667,943.4375
A56,0,0,14,BXD75,75,0_14,0_14_0,43,32.33166667,9.555500001,25.95833333,
A57,0,5,6,BXD75,75,5_6,5_6_0,49.875,18.52,1.0435,43.615,163.08125
A58,0,5,14,BXD75,75,5_14,5_14_0,44,12.355,-0.17825,4.02,219.255
A59,1,5,14,BXD75,75,5_14,5_14_1,67.5,30.8325,-1.8145,16.9675,777.0625
A6,0,0,14,C57BL.6J,B6,0_14,0_14_0,58,36.26222222,6.849222222,53.61444444,
A60,0,0,14,BXD77,77,0_14,0_14_0,56.5,41.593,10.8748,26.566,
A61,1,0,14,BXD77,77,0_14,0_14_1,51.5,21.11166667,2.517166667,24.265,
A62,0,0,6,BXD81,81,0_6,0_6_0,58.125,30.22333333,7.489333332,38.33333333,
A63,0,0,14,BXD81,81,0_14,0_14_0,56.2,44.786,10.8358,31.704,
A64,0,5,6,BXD81,81,5_6,5_6_0,53.33333333,19.37166667,3.030666668,22.72,108.1625
A65,0,5,14,BXD81,81,5_14,5_14_0,48.66666667,14.91166667,3.806500001,14.86166667,
A66,0,5,14,BXD87,87,5_14,5_14_0,52.2,35.144,4.0244,22.986,326.4826389
A67,1,5,14,BXD87,87,5_14,5_14_1,48.25,44.6675,11.73425,33.57,713.9375
A68,0,5,6,BXD99,99,5_6,5_6_0,37.75,54.89,3.753,62.7,
A69,1,0,14,BXD100,100,0_14,0_14_1,53.66666667,19.24166667,1.558333334,29.74666667,
A7,1,0,6,C57BL.6J,B6,0_6,0_6_1,61.5,46.8325,15.43225,59.8125,
A70,0,5,6,BXD100,100,5_6,5_6_0,70.66666667,33,6.447,40.7125,109.98125
A71,1,5,14,BXD100,100,5_14,5_14_1,45.28571429,16.00857143,-4.768142856,21.04,443.875
A72,0,0,6,C57BL.6J,B6,0_6,0_6_0,56,44.945,6.247000001,53.645,
A8,1,5,6,C57BL.6J,B6,5_6,5_6_1,62.23076923,43.71857143,9.987142856,73.64714286,5.432291667
A9,1,0,14,C57BL.6J,B6,0_14,0_14_1,61.57142857,53.42727273,13.399,55.03454545,
S103,1,0,14,BXD87,87,0_14,0_14_1,47,47.33,7.833,55.1,
S106,1,0,14,BXD68,68,0_14,0_14_1,77.5,31,4.0665,53.535,
S11,1,0,6,BXD87,87,0_6,0_6_1,52.25,25.33333333,3.411333332,53.68,
S112,0,5,6,BXD44,44,5_6,5_6_0,53.92857143,65,8.1195,49.3,52.0375
S114,1,5,6,BXD65,65,5_6,5_6_1,57.75,47.67,16.7105,38.895,103.85625
S12,0,5,6,BXD87,87,5_6,5_6_0,57.83333333,44.66666667,7.889000002,19.49333333,66.33138889
S120,1,5,14,BXD65,65,5_14,5_14_1,55.5,36.33,6.065,57.325,687.9375
S124,0,0,6,BXD44,44,0_6,0_6_0,66,56.665,13.134,26.335,
S13,1,0,6,BXD61,61,0_6,0_6_1,53.125,43.8,12.34,31.26,
S131,1,0,14,BXD65,65,0_14,0_14_1,61,42.335,5.134,80.495,
S138,0,5,6,BXD65,65,5_6,5_6_0,56,42.22333333,12.33366667,53.13,282.4375
S149,1,0,6,BXD44,44,0_6,0_6_1,48,14,5,34.98,
S150,0,0,6,BXD51,51,0_6,0_6_0,64.14285714,56.66666667,19.22266667,53.97666667,
S16,1,5,6,BXD62,62,5_6,5_6_1,87.5,55,0.733,64.825,58.66875
S162,1,0,14,BXD44,44,0_14,0_14_1,62,43.36333333,7.455,29.72333333,
S165,1,5,6,BXD44,44,5_6,5_6_1,62.1,39.93,3.9795,40.315,57.39375
S17,1,0,6,BXD32,32,0_6,0_6_1,63.25,44.335,13.835,60.065,
S172,0,5,6,BXD55,55,5_6,5_6_0,53.2,16,6.333,30.17333333,100.65625
S176,0,5,14,BXD14,14,5_14,5_14_0,51.5,2.015,-1.6635,4.21,
S180,0,5,6,BXD22,22,5_6,5_6_0,51,31.60333333,8.344999999,28.08666667,192.875
S182,0,0,6,BXD22,22,0_6,0_6_0,55.75,75.84,15.462,38.07,
S187,0,0,14,BXD99,99,0_14,0_14_0,52,42,11.858,31.3,
S188,0,0,14,BXD22,22,0_14,0_14_0,39.66666667,27,-2.334,36.695,
S193,0,0,6,BXD56,56,0_6,0_6_0,59.2,46.49333333,8.811,66.15,
S194,0,0,6,BXD75,75,0_6,0_6_0,66.77777778,31.43,3.552333334,34.92,
S199,0,5,14,BXD22,22,5_14,5_14_0,49,51.495,15.407,33.57,594.25
S201,0,0,14,BXD14,14,0_14,0_14_0,42,43.335,7.867,35.105,
S210,1,0,14,BXD70,70,0_14,0_14_1,58,45.465,11.236,34.565,
S215,1,0,14,BXD56,56,0_14,0_14_1,69,12.67,4.733,3.03,
S216,1,5,14,BXD56,56,5_14,5_14_1,48.33333333,58,-5.801,47.91,192.6875
S217,1,5,6,BXD68,68,5_6,5_6_1,54.375,56,11.799,33.38,37.3625
S22,1,0,14,BXD62,62,0_14,0_14_1,51.66666667,64,11.85466667,64.78,
S23,0,0,14,BXD66,66,0_14,0_14_0,52,64.67,12,12.11,
S241,0,5,14,BXD42,42,5_14,5_14_0,73,34.67,1.7685,28.985,
S243,0,0,14,BXD42,42,0_14,0_14_0,43,9.33,3.399,18.66,
S257,1,5,14,BXD89,89,5_14,5_14_1,32,22.67,8.534,11.67,
S258,1,0,14,BXD89,89,0_14,0_14_1,49,51.665,7.533,30.635,
S268,0,0,14,BXD44,44,0_14,0_14_0,75,66,15.265,45.41,
S270,0,0,14,BXD70,70,0_14,0_14_0,65.5,63.11,13.79966667,48.07,
S28,1,5,14,BXD32,32,5_14,5_14_1,51.33333333,34.22333333,3.538333331,50.09333333,86.625
S29,1,0,14,BXD75,75,0_14,0_14_1,54,56.67,15.669,33.6,
S298,1,5,6,BXD60,60,5_6,5_6_1,59.4,34.71,9.454,33.3,142.84375
S300,0,5,6,BXD56,56,5_6,5_6_0,68,48.995,10.5855,57.765,196.375
S301,0,0,14,BXD89,89,0_14,0_14_0,65,23.335,5.78,48.55,
S304,0,0,14,BXD56,56,0_14,0_14_0,62.5,44.665,10.4675,31.855,
S306,0,5,6,BXD32,32,5_6,5_6_0,56.375,34.1675,6.484,39.205,89.42083333
S31,0,5,6,BXD61,61,5_6,5_6_0,64,28.67,4.8885,53.315,54.2625
S32,0,5,6,BXD66,66,5_6,5_6_0,63.25,32,10.808,15.54,89.9375
S33,0,0,6,BXD100,100,0_6,0_6_0,61.16666667,28.67,10.0675,33.63,
S40,0,0,14,BXD62,62,0_14,0_14_0,40,68.89,13.13133333,71.47333333,
S41,1,5,14,BXD62,62,5_14,5_14_1,38,29.335,6.451,26.715,912.9375
S42,0,5,14,BXD66,66,5_14,5_14_0,54.66666667,13.78,-2.618999999,38.13333333,514.8791667
S43,0,0,6,BXD77,77,0_6,0_6_0,58.5,21.335,4.2965,13.2,
S46,0,0,6,BXD87,87,0_6,0_6_0,55.16666667,43.16666667,6.282,41.9,
S47,1,0,6,BXD68,68,0_6,0_6_1,65.5,53,9.0675,40.835,
S56,1,0,6,BXD66,66,0_6,0_6_1,52.8,39.33,8.733,12.56,
S57,0,0,6,BXD32,32,0_6,0_6_0,60.25,10,5.215,43.17,
S58,0,5,6,BXD77,77,5_6,5_6_0,63,44.145,1.9065,47.525,241.125
S60,1,5,6,BXD87,87,5_6,5_6_1,53,50,7.532,34.86,37.3625
S61,0,5,6,BXD60,60,5_6,5_6_0,51,50.515,12.62,57.3,75.98125
S62,0,0,6,BXD66,66,0_6,0_6_0,58.5,48,12.067,36.14,
S64,0,0,6,BXD69,69,0_6,0_6_0,63.5,44.67,13.887,43.63,
S69,0,5,14,BXD32,32,5_14,5_14_0,48.5,7,-3.268,1.335,141.125
S7,1,0,6,BXD75,75,0_6,0_6_1,65.5,15.33,0.065,48.4,
S70,0,0,14,BXD100,100,0_14,0_14_0,58.75,32,7.5765,31.6225,
S71,0,0,14,BXD32,32,0_14,0_14_0,48.66666667,23.18333333,7.510666666,10.35666667,
S74,0,5,14,BXD77,77,5_14,5_14_0,58.25,0,-3.732333334,3.19,226.3125
S75,0,0,14,BXD87,87,0_14,0_14_0,55.33333333,25.11,5.574333333,24.79,
S78,0,5,14,C57BL.6J,B6,5_14,5_14_0,,,,,463.375
S79,0,0,6,BXD61,61,0_6,0_6_0,61.5,58.67,11.199,52.45,
S80,0,0,6,BXD62,62,0_6,0_6_0,56.66666667,50.665,2.534,38.85,
S82,1,0,6,BXD77,77,0_6,0_6_1,63.625,15.665,4.1655,16.855,
S84,1,0,6,BXD62,62,0_6,0_6_1,72.66666667,20,0.733,57.48,
S87,0,5,6,BXD62,62,5_6,5_6_0,45,24,8.6,73.06,55.25
S88,1,5,6,BXD75,75,5_6,5_6_1,63.83333333,5.665,-4.4,44.26,98.78125
S9,1,5,14,BXD77,77,5_14,5_14_1,56.33333333,36,-0.8,23.97,798.3125
S91,1,0,14,BXD66,66,0_14,0_14_1,44,19.77666667,4.377666668,34.08333333,
S92,0,5,14,BXD100,100,5_14,5_14_0,73,13.025,-0.959,15.005,919.5
S93,0,0,14,BXD60,60,0_14,0_14_0,55,47.1,13.32533333,29.90666667,
S94,0,5,14,BXD62,62,5_14,5_14_0,50,7.556666667,1.358333333,22.78,242.8125
S96,1,0,14,BXD32,32,0_14,0_14_1,42.5,50,8.5655,61.485,
S97,1,5,6,BXD61,61,5_6,5_6_1,52,58.85,12.6545,49.195,63.24375
S98,1,5,6,BXD32,32,5_6,5_6_1,57.83333333,18.33,1.271,31.145,37.325
S99,0,5,6,BXD69,69,5_6,5_6_0,56.25,43.335,6.6745,58.135,108.834375
